Source,Target,Type,Label,Weight,Person_Index_Year,Assoc_Index_Year
胡安國,王樞,Directed,門人為Y,1,1074,1115
胡安國,江致一,Directed,門人為Y,1,1074,
胡安國,韓璜,Directed,學生為Y,1,1074,
胡安國,薛徽言,Directed,學生為Y,1,1074,1093
胡安國,胡憲,Directed,學生為Y,1,1074,1086
胡安國,向浯,Directed,學生為Y,1,1074,1116
胡安國,胡襄,Directed,學生為Y,1,1074,1108
胡安國,劉芮,Directed,學生為Y,1,1074,1120
胡安國,徐時動,Directed,學生為Y,1,1074,
胡安國,彪虎臣,Directed,學生為Y,1,1074,1078
胡安國,楊訓,Directed,學生為Y,1,1074,1058
胡安國,黎明,Directed,學生為Y,1,1074,
胡安國,譚知禮,Directed,學生為Y,1,1074,
胡處邦,何士昭,Directed,門人為Y,1,,1055
胡斗元,俞洪,Directed,門人為Y,1,1224,
胡方平,李偉,Directed,弟子為Y,1,1217,1246
胡宏,張栻,Directed,學生為Y,1,1106,1133
胡宏,趙棠,Directed,學生為Y,1,1106,1128
胡宏,胡大原,Directed,學生為Y,1,1106,1128
胡宏,譚傃,Directed,學生為Y,1,1106,
胡宏,楊大異,Directed,學生為Y,1,1106,1190
胡宏,吳翌,Directed,學生為Y,1,1106,1129
胡宏,彪居正,Directed,學生為Y,1,1106,1108
胡鑑,文天祥,Directed,學生為Y,1,1220,1236
胡晉侯,秦觀,Directed,學生為Y,1,1061,1055
胡銓,王端朝,Directed,門人為Y,1,1102,1123
胡銓,楊萬里,Directed,學生為Y,1,1102,1127
胡銓,施峻,Directed,學生為Y,1,1102,
胡銓,崔若舟,Directed,學生為Y,1,1102,1110
胡銓,崔若兩,Directed,學生為Y,1,1102,1110
胡銓,鄧洵美,Directed,學生為Y,1,1102,1095
胡銓,蕭楚,Directed,弟子為Y,1,1102,1064
胡三省,汪宗臣,Directed,學生為Y,1,1229,1173
胡憲,朱熹,Directed,學生為Y,1,1086,1130
胡憲,朱熹,Directed,學生為Y,1,1086,1130
