Id,Label,Index_Year
劉與孫,劉與孫,1296
劉炳,劉炳,1337
周伯琦,周伯琦,1298
丁復,丁復,
劉因,劉因,1249
滕安上,滕安上,1242
程迥,程迥,1133
聞人滋,聞人滋,
姜夔,姜夔,1155
林逋,林逋,957
徐積,徐積,1028
葛洪,葛洪,1174
孫嵩,孫嵩,1238
汪克寬,汪克寬,1304
龔鼎臣,龔鼎臣,1010
李侗,李侗,1093
劉愚,劉愚,1133
衛培,衛培,
鄧牧,鄧牧,1247
洪焱祖,洪焱祖,1267
錢宰,錢宰,1302
釋元熙,釋元熙,1238
段成己,段成己,1199
曾季貍,曾季貍,
嚴粲,嚴粲,
侯克中,侯克中,
崔白,崔白,
王綽,王綽,
王若訥,王若訥,1217
石一鰲,石一鰲,
王泰來,王泰來,
王開祖,王開祖,1017
余端臣,余端臣,1164
丘漸,丘漸,
王珏,王珏,1238
王夢松,王夢松,1186
王琦,王琦,
王世傑,王世傑,1205
文道南,文道南,
趙昌,趙昌,
石恪,石恪,
葉子儀,葉子儀,
諸葛希仁,諸葛希仁,
石泰,石泰,1095
范寬,范寬,
方澤需,方澤需,
楊復,楊復,
史炤,史炤,
劉有貞,劉有貞,
丘崈,丘崈,1133
呂大圭,呂大圭,1227
江緯,江緯,1070
丘富國,丘富國,
江濤,江濤,
吳方慶,吳方慶,
張逵,張逵,975
薛大觀,薛大觀,
朱炳,朱炳,
何執,何執,
朱洪範,朱洪範,1223
車若水,車若水,
朱渙,朱渙,1193
朱銳,朱銳,
汪元春,汪元春,1208
胡三省,胡三省,1229
樓觀,樓觀,
吳雄,吳雄,1148
車瑾,車瑾,1132
陳埴,陳埴,
杜子野,杜子野,
吳晞,吳晞,
廖應淮,廖應淮,1229
杜希仲,杜希仲,
宋惟亮,宋惟亮,
李珙,李珙,1115
李珫,李珫,
李嵩,李嵩,
嚴拙翁,嚴拙翁,
李則,李則,
鄭霖,鄭霖,1199
李燔,李燔,1160
李大辯,李大辯,
李坤臣,李坤臣,1168
黃筌,黃筌,
吳儀,吳儀,1044
陳立大,陳立大,
傅子雲,傅子雲,
傅維清,傅維清,
蔡蒙叟,蔡蒙叟,
吳羨門,吳羨門,1023
高克明,高克明,
何普,何普,1142
錢時,錢時,1207
余學古,余學古,1221
林略,林略,1169
林磻,林磻,1190
周文敏,周文敏,
陳鵬飛,陳鵬飛,1112
胡鑑,胡鑑,1220
許復道,許復道,1187
諸葛千能,諸葛千能,1151
范彬,范彬,
柯夢得,柯夢得,
蔡蒙吉,蔡蒙吉,
范諤昌,范諤昌,
高商老,高商老,
俞浙,俞浙,1230
趙良鈞,趙良鈞,1241
國子綱,國子綱,
葉邽,葉邽,1182
金彥博,金彥博,
莫冠卿,莫冠卿,1115
孫彥及,孫彥及,
許錫,許錫,1145
王龔,王龔,
林立之,林立之,
徐存,徐存,
梁應龍,梁應龍,1207
郭載,郭載,
張采,張采,
張昕,張昕,
張奕,張奕,1012
張裕,張裕,
張諒,張諒,
張績,張績,
張正己,張正己,
張希顏,張希顏,
張訓禮,張訓禮,
張應辰,張應辰,
陳易,陳易,1166
陳埴,陳埴,1157
陳震,陳震,1163
陳景肅,陳景肅,1121
馮去非,馮去非,1192
甯智先,甯智先,
曾鳳,曾鳳,
黃補,黃補,
喬疎,喬疎,
程正則,程正則,
程時登,程時登,1249
楊愨,楊愨,
楊忱中,楊忱中,1178
靳裁之,靳裁之,
㬊淵,㬊淵,
葉采,葉采,1211
鄒斌,鄒斌,1181
趙庚,趙庚,1151
趙偕,趙偕,1277
趙汝回,趙汝回,1184
潘翼,潘翼,
蔡希點,蔡希點,
滕璘,滕璘,1150
劉岊,劉岊,1223
劉愈,劉愈,1096
劉應龜,劉應龜,1244
蕭顗,蕭顗,
應恕,應恕,
韓禾,韓禾,1205
戴仲弼,戴仲弼,
魏謙光,魏謙光,
高遜志,高遜志,1339
王仁裕,王仁裕,880
符蒙,符蒙,881
王毅,王毅,1303
甘楚材,甘楚材,
石一鼇,石一鼇,1230
朱公遷,朱公遷,1263
李亦,李亦,
范祖幹,范祖幹,1322
張楧,張楧,1260
張䇓,張䇓,1236
黃冔,黃冔,1308
葉儀,葉儀,
劉彭壽,劉彭壽,1273
沈粲,沈粲,1379
朱彥修,朱彥修,
王元章,王元章,
阮登炳,阮登炳,
樂良,樂良,
張元德,張元德,
劉實翁,劉實翁,
吳參倚,吳參倚,
張貫之,張貫之,
敖繼公,敖繼公,
李去智,李去智,
李成季,李成季,
林簡子,林簡子,
盧允文,盧允文,
眞德秀,眞德秀,
鄭元佑,鄭元佑,
鄭禮之,鄭禮之,
韓古遺,韓古遺,
高守道,高守道,
張易簡,張易簡,
毛忠卿,毛忠卿,1154
閔從先,閔從先,
呂宏,呂宏,
游執中,游執中,
梁棟,梁棟,
陳特,陳特,
劉瞻,劉瞻,1121
蔣雱,蔣雱,
釋妙慧,釋妙慧,
釋審定,釋審定,933
釋某某,釋某某,
蔡襄,蔡襄,1012
蔡沈,蔡沈,1167
竇默,竇默,1196
何堅,何堅,1186
晁公遡,晁公遡,1108
劉蒙慶,劉蒙慶,1132
高元之,高元之,1142
湯漢,湯漢,1214
胡方平,胡方平,1217
陳文蔚,陳文蔚,1154
李劉,李劉,1178
胡泳,胡泳,
陳樵,陳樵,1278
孫炎,孫炎,1325
王致,王致,1010
葉味道,葉味道,1190
韓用師,韓用師,
釋廣智,釋廣智,
釋省念,釋省念,926
釋楚圓,釋楚圓,
釋懷澄,釋懷澄,
釋慧南,釋慧南,1002
釋義懷,釋義懷,
李溉,李溉,
釋如縱,釋如縱,
楊昭復,楊昭復,
孫立節,孫立節,1023
范子堅,范子堅,
魏元吉,魏元吉,
張遠,張遠,
傅寅,傅寅,1148
釋麻衣,釋麻衣,
釋藏休,釋藏休,884
釋守諲,釋守諲,931
釋紹月,釋紹月,915
釋道元,釋道元,907
李氏（李嗣源女）,李氏（李嗣源女）,
釋法雨,釋法雨,1043
釋思達,釋思達,
釋智深,釋智深,1019
釋普閏,釋普閏,
梁揚祖,梁揚祖,1088
呂廣問,呂廣問,1098
潘良貴,潘良貴,1094
樓炤,樓炤,1085
張傑,張傑,1133
嚴昌裔,嚴昌裔,
施堪,施堪,
許幾,許幾,1054
曾宏,曾宏,
宋道隆,宋道隆,
歐陽中立,歐陽中立,1049
傅楫,傅楫,1042
毛滂,毛滂,
朱諤,朱諤,1061
楊訓,楊訓,1052
顧棠,顧棠,
張僅,張僅,1035
俞紫琳,俞紫琳,1025
許允成,許允成,
林志寧,林志寧,
李郁,李郁,1086
李似祖,李似祖,1088
廖衙,廖衙,
李德駿,李德駿,
范域,范域,
邵溥,邵溥,1085
趙霄,趙霄,1062
吳給,吳給,1084
曾伉,曾伉,1023
周莊仲,周莊仲,1085
周元卿,周元卿,1140
朱塾,朱塾,1153
蔡模,蔡模,1188
趙善待,趙善待,1128
趙師淵,趙師淵,1142
呂喬年,呂喬年,1165
趙師夏,趙師夏,1160
楊長孺,楊長孺,1157
王漢,王漢,1152
曹彥約,曹彥約,1157
陳守,陳守,1148
陳宓,陳宓,1171
陳址,陳址,1134
鄭昭先,鄭昭先,1157
劉起晦,劉起晦,1142
潘植,潘植,1166
黃杲,黃杲,1117
余元一,余元一,1148
傅誠,傅誠,1151
方大壯,方大壯,1183
方符,方符,1176
熊以寧,熊以寧,1148
熊節,熊節,1169
祝穆,祝穆,1190
祝癸,祝癸,1192
朱埜,朱埜,1148
方耒,方耒,1136
方壬,方壬,1147
林振,林振,1160
李東,李東,1160
鄭可學,鄭可學,1152
黃東,黃東,1137
朱在,朱在,1155
